Slide Number,Topic,Subject,Title,Category,Filename,Notes
17,Difference Between Method and Function,Difference Between Method and Function,"Same Behavior, Two Designs",Demonstration,,Compare a free function and a method that both operate on a Date object.
18,Difference Between Method and Function,Difference Between Method and Function,Difference Between Method and Function: Key Ideas,Summary,,Reinforce ownership state access and call syntax as the essential distinctions.
19,Access Specifiers,Access Specifiers,Why Control Access to Class Members?,Opening Question,,Motivate access control as a way to protect object state and limit unintended use.
20,Access Specifiers,Access Specifiers,The Three Access Specifiers,Enumerate,,Introduce public private and protected as the three access-control options.
21,Access Specifiers,Access Specifiers,Access Specifier Anatomy,Anatomy,,Label how access-specifier sections organize members inside a class declaration.
22,Access Specifiers,Access Specifiers,Public Members,Demonstration,,Show members intended for client code with a short class example.
23,Access Specifiers,Access Specifiers,Private Members,Demonstration,,Show how private data prevents direct external access and protects class invariants.
24,Access Specifiers,Access Specifiers,Default Access in class and struct,Contrast,,Explain that class members default to private while struct members default to public.
25,Access Specifiers,Access Specifiers,Choosing an Access Specifier,Decision Point,,Compare when a member should be public private or protected.
26,Access Specifiers,Access Specifiers,Access Specifiers: Key Ideas,Summary,,Reinforce that access specifiers define the boundary between a class interface and its implementation.
27,Private Member Functions,Private member functions,Why Hide Helper Methods?,Opening Question,,Motivate private member functions as a way to reduce unnecessary public complexity.
28,Private Member Functions,Private member functions,Public Interface and Private Implementation,Contrast,,Distinguish methods clients call from helper methods used only inside the class.
29,Private Member Functions,Private member functions,Private Member Function Anatomy,Anatomy,,Show where a private method is declared and how its definition follows normal method syntax.
30,Private Member Functions,Private member functions,A Public Method Calling a Private Helper,Demonstration,,Use a complete class example in which a public method delegates part of its work to a private method.
31,Private Member Functions,Private member functions,Choosing a Private Helper,Decision Point,,Identify behavior that should remain internal because clients do not need to call it directly.
32,Private Member Functions,Private member functions,Private Member Functions: Key Ideas,Summary,,Reinforce that private methods support implementation without expanding the public interface.
33,Methods as an Interface,Methods as an interface,Why Does a Class Need an Interface?,Opening Question,,Motivate a class interface as the controlled way clients use an object.
34,Methods as an Interface,Methods as an interface,Public Methods as the Interface,Define,,Show that public methods describe what an object can do without exposing its internal representation.
35,Methods as an Interface,Methods as an interface,Interface and Implementation,Contrast,,Compare public method declarations with private data and helper logic clients do not see.
36,Methods as an Interface,Methods as an interface,A Method Signature as a Contract,Anatomy,,Identify the method name parameters return type and access level as parts of the interface contract.
37,Methods as an Interface,Methods as an interface,Using an Object Through Its Interface,Demonstration,,Use a complete code example showing client code interacting with an object only through public methods.
38,Methods as an Interface,Methods as an interface,Changing Implementation Without Changing Clients,Before/After,,Show how internal implementation can change while client code continues to use the same public methods.
39,Methods as an Interface,Methods as an interface,Methods as an Interface: Key Ideas,Summary,,Reinforce that an interface defines permitted operations while implementation details remain hidden.
40,Setters and Getters,Setters and getters,Why Use Setters and Getters?,Opening Question,,Motivate why private data should be accessed through methods instead of directly.
41,Setters and Getters,Setters and getters,Setter and Getter Roles,Define,,Define setters as controlled update methods and getters as controlled read methods.
42,Setters and Getters,Setters and getters,Setter Anatomy,Anatomy,,Identify the parameter validation opportunity assignment and return type in a setter.
43,Setters and Getters,Setters and getters,Getter Anatomy,Anatomy,,Identify how a getter returns object state without exposing the data member directly.
44,Setters and Getters,Setters and getters,A Complete Setter and Getter Example,Demonstration,,Use a class with private data and public setter and getter methods to show the complete interaction.
45,Setters and Getters,Setters and getters,Direct Access Compared with Methods,Contrast,,Compare public data members with private data accessed through setters and getters.
46,Setters and Getters,Setters and getters,Setter and Getter Contracts,Invariant,,Explain that a setter must leave the object in a valid state while a getter reports state without changing it.
47,Setters and Getters,Setters and getters,Setters and Getters: Key Ideas,Summary,,Reinforce that setters control updates and getters control reads through the class interface.
48,Setters Increase Reliability,Setters Increase reliability,Why Should a Setter Reject Data?,Opening Question,,Motivate setters as safeguards against invalid object state.
49,Setters Increase Reliability,Setters Increase reliability,Valid State and Invariants,Define,,Define an invariant and show how invalid values can violate it.
50,Setters Increase Reliability,Setters Increase reliability,Validation Inside a Setter,Anatomy,,Identify the condition accepted-value path and rejected-value path in a validating setter.
51,Setters Increase Reliability,Setters Increase reliability,A Setter That Protects an Object,Demonstration,,Use a complete class example where a setter accepts valid input and rejects invalid input.
52,Setters Increase Reliability,Setters Increase reliability,Before and After Validation,Before/After,,Trace object state before and after valid and invalid setter calls.
53,Setters Increase Reliability,Setters Increase reliability,Boundary Values and Invalid Input,Boundary,,Predict what happens at minimum maximum and just-outside-the-range values.
54,Setters Increase Reliability,Setters Increase reliability,Choosing a Rejection Policy,Decision Point,,Compare retaining the old value assigning a default or reporting an error when input is invalid.
55,Setters Increase Reliability,Setters Increase reliability,Setters Increase Reliability: Key Ideas,Summary,,Reinforce that setters centralize validation and keep objects in a valid state.
56,Getters,Getters,How Can Clients Observe Object State?,Opening Question,,Motivate getters as the controlled read interface for private data.
57,Getters,Getters,The Role of a Getter,Define,,Define a getter as a method that reports a value without changing the object.
58,Getters,Getters,Getter Anatomy,Anatomy,,Identify the return type method name parameter list and returned data member.
59,Getters,Getters,A Getter in a Complete Class,Demonstration,,Use a class example showing private data a getter and client code receiving the value.
60,Getters,Getters,Getter Calls Do Not Change State,Invariant,,Trace repeated getter calls and show that observation leaves the object unchanged.
61,Getters,Getters,Returning a Value Through the Interface,Contrast,,Compare returning a copy of the value with exposing the data member directly.
62,Getters,Getters,Getters: Key Ideas,Summary,,Reinforce that getters provide controlled observation while preserving encapsulation.
