date,lecture,category,lesson,applied
2026-03-18,p400_lecture_10.01,structure,"Slide titles are labels, not sentence fragments. Do not append descriptors after an em-dash (e.g. 'Reading the Nth record — the formula' → 'Reading the Nth record'). The title names the slide; the content explains it.",no
2026-03-23,p400_lecture_10.01,structure,"When the intro slide contains both a motivating hook and a taxonomy or categorization of the topic (e.g. 'two kinds of…'), split them into separate slides. The intro slide keeps the hook only; the taxonomy gets its own slide with a descriptive title.",no
2026-03-23,p400_lecture_10.01,slide length,"Even two short motivating sentences on an intro slide should be formatted as bullet points (+), not run together as prose. Each statement gets its own line.",no
2026-05-28,p400_lecture_01.01,structure,"When starting a rebuild session, read the most recently completed lecture's topic files before writing any slides — title format, bullet style, notes placement, and summary structure all drift over time and the latest lecture is the authoritative style reference.",no
2026-05-28,p400_lecture_01.01,structure,"For the first lecture in a sequence, replace # Last Time in the stitched file with a welcome or context slide — there is no prior lecture to recap, and a blank incremental list creates a confusing empty slide.",no
2026-05-28,p400_lecture_01.01,Quarto syntax,"When highlighting statements inside a code block that contains blank lines, use pipe-separated ranges in code-line-numbers (e.g., ""10-11|13-14"") rather than a continuous range — a continuous range that spans blank lines highlights the blanks and weakens the visual focus.",no
2026-05-28,p400_lecture_01.01,structure,"When old lecture materials contain a hand-drawn or image-based diagram, reproduce it as a Markdown table or labeled text layout in the slide body, and note a graphical redraw suggestion in speaker notes — this keeps the content editable and version-controlled without blocking on image production.",no
2026-05-28,p400_lecture_01.01,structure,"When an instructor uploads old slide materials mid-session to augment a topic, present a revised slide list for that topic only before generating — do not restart the full proposal cycle for unchanged topics.",no
2026-05-28,p400_lecture_01.01,Quarto syntax,"When two # (h1) headings appear consecutively in a stitched file, do not place a --- separator between them — Quarto/Reveal.js will render the separator as a blank slide. Let the # heading itself act as the section boundary.",no
2026-05-29,p400_lecture_01.01,Quarto syntax,"Setting navigation-mode: linear in _quarto.yml produces a traditional left-to-right linear presentation. The # (h1) headings still render as visual section-title slides but no longer create horizontal columns. The custom keyboard JS written for vertical mode's section-boundary problem can be removed entirely — standard Reveal.js keyboard behavior handles everything.",no
2026-05-29,p400_lecture_01.01,Quarto syntax,"When _quarto.yml has project: type: default, Quarto validates all {{< include >}} targets across the entire project before rendering any single file. Missing include targets in unrebuilt lectures block rendering of everything. Fix: create minimal stub .qmd files at each missing path — one HTML comment line is sufficient.",no
2026-05-29,p400_lecture_01.01,structure,"index.html link text should be the lecture title only — never include week number or lecture number. The card already displays the badge (e.g. 01.01) and slot (Lecture 1), so prefixing the title with 'Week 1, Lecture 01 –' is redundant.",no
2026-06-04,p400_lecture_02.02,structure,"When moving a topic earlier from a later lecture, adapt examples to the receiving lecture's prerequisite level instead of copying the old topic wholesale. For terminal colors in 02.02, keep ANSI constants but remove vector/range-for examples.",no
2026-06-04,p400_lecture_03.01,structure,"When a lecture is reframed around a design theme, keep the agenda limited to instructional topics and move out-of-sequence material such as scope or shadow variables to the later topic where it belongs.",no
2026-06-05,p400_lecture_03.02,structure,"When introducing vectors before index-based loops, teach index notation only as access to one known position, then use its limits to motivate range-based for loops.",no
2026-06-09,p400_lecture_02.01,slide length,"When a slide combines bullet/text explanation with a table of five or more data rows, shrink the explanatory text or use a two-column layout so the table remains readable.",no
2026-06-09,p400_lecture_02.01,slide length,"When a mixed explanation/code slide has ten or more total units, counting bullet sentences plus lines of code, split it into separate explanation and code slides.",no
2026-06-06,p400_lecture_04.01,structure,"Build lectures as a linear flow through the deck: when introducing a new programming construct, connect it to prior design models before syntax, showing what stays the same in the IPO model and what changes in the execution trace.",no
2026-06-07,p400_lecture_04.02,structure,"When a familiar concept becomes newly important in a later design context, frame it as consequences rather than reteaching it from zero.",no
2026-06-08,p400_lecture_01.02,Quarto syntax,"Use {.smaller} only for opening/topic-hook slides unless a specific slide truly needs scaling; applying it broadly can make Reveal.js fit slides too tall and hide titles.",no
2026-06-08,p400_lecture_05.01,structure,"When a prior lecture introduces a model used by the next lecture, include a brief model-check slide early in the first topic rather than making the model a full topic again.",no
2026-06-08,p400_lecture_05.02,structure,"When a lecture topic is a synthesis of prior mechanics, frame it around design choices and consequences rather than reteaching the underlying syntax.",no
2026-06-08,p400_lecture_06.01,structure,"When a lecture introduces design patterns before the full OOP unit, keep the pattern focus on problem, structure, and tradeoff; use minimal C++ code shapes only after the design intent is clear.",no
2026-06-09,p400_lecture_06.02,structure,"When rebuilding from an older PDF that includes exercises, first separate the instructional spine from activity blocks; keep exercises out of the agenda and main topic files unless explicitly requested.",no
2026-06-29,p400_lecture_11.02,structure,"When students know range-based traversal but not index access, teach the index model as a separate topic before introducing index-controlled loops.",no
2026-06-30,p400_lecture_13.01,structure,"When familiar material receives new terminology, explicitly establish that it is the same concept before concentrating on genuinely new applications.",no
2026-07-02,p400_lecture_14.01,structure,"When any topic depends on material students have not yet learned, flag the prerequisite gap for the instructor and recommend moving the dependent topic until after that prerequisite has been taught.",no
