lecture,week,section,Subject,emphasis,time_budget,optional,notes
p400_lecture_16.02,8,oop,Destructor,standard,8,no,~ClassName() syntax; no parameters no return type; runs at scope exit or delete; heap cleanup; RAII intro
p400_lecture_16.02,8,oop,Constructor Overloading,standard,8,no,multiple constructors with different parameter lists; same rules as function overloading; default + parameterized pattern
p400_lecture_16.02,8,oop,Parameterized Constructor,high,12,no,parameters initialize members at creation; before/after setter chain comparison; works with arrays and vectors; constructor validation
p400_lecture_16.02,8,oop,Default Constructor,standard,8,no,implicit default provided by C++; disappears when any constructor is defined; explicit default to restore it; most vexing parse
p400_lecture_16.02,8,oop,What is a Constructor,high,8,no,same name as class; no return type; automatic invocation; replaces setter-chain pattern; partially-initialized object problem
p400_lecture_17.01,8,oop,Vectors of Objects,standard,15,no,vector<ClassName> declaration; push_back objects; range-for with const ref; .size() vs static SIZE; dynamic growth from user input
p400_lecture_17.01,8,oop,Arrays of Objects,standard,10,no,ClassName array[n]; array[i].method() two-step access; max-tracker loop with getters; moved from 16.01
p400_lecture_04.02,2,methods,Methods,standard,,no,methods as class behavior; function knowledge applied to member functions; method syntax and calls
p400_lecture_04.02,2,constructors,Constructors and Constructor Overloading,standard,,no,constructor rules; initialization; default constructors; overloaded constructors; default arguments
p400_lecture_04.02,2,constructors,Destructors,standard,,no,destructor role; cleanup at object lifetime end; constructor and destructor relationship
p400_lecture_05.01,3,relationships,Class Initialization and Relationships,standard,10,no,setters and getters; object relationships; modular and reliable class collaboration
p400_lecture_05.01,3,relationships,Dependency Relationships,standard,12,no,uses-a relationship; short-lived class interaction; dependency examples
p400_lecture_05.01,3,data_structures,Arrays of Objects,standard,15,no,arrays of structs and classes; stack and heap placement; constructor initialization lists; dynamic object arrays
p400_lecture_05.01,3,debugging,Assertions,standard,8,no,assert as a toggleable incorrect-state detector; compile-out behavior; debugging support
p400_lecture_05.02,3,objects,Selecting Members of Objects,standard,12,no,member access through object pointers; dereference precedence; arrow operator
p400_lecture_05.02,3,data_structures,Arrays of Objects on the Stack and Heap,standard,12,no,object arrays; constructor calls; stack versus heap placement; dynamic object arrays
p400_lecture_05.02,3,resource_management,Resource Acquisition Is Initialization,standard,8,no,constructors acquire resources; destructors release them; scope-driven cleanup
p400_lecture_05.02,3,objects,Passing Objects to Functions,standard,14,no,pass by value; reference; pointer; const reference; tradeoffs and method interfaces
p400_lecture_06.01,3,objects,Anonymous Classes and Objects,standard,8,no,class and object lifetime without named reusable types; scope; one-use objects
p400_lecture_06.01,3,patterns,Adapter Pattern,standard,12,no,bridge incompatible object formats; temporary uses-a conversion; broad input type and adapter conversion
p400_lecture_06.02,3,strings,C-Strings and Character Arrays,standard,14,no,null-terminated character arrays; char pointers; literals; buffer overrun risk; input and bounds limitations
p400_lecture_06.02,3,strings,C-String Library Functions,standard,8,no,cstring functions for copying comparison length and search operations
p400_lecture_06.02,3,strings,String and Numeric Conversions,standard,18,no,stringstream conversion; to_string; stoi and related functions; choosing stream versus quick conversion
p400_lecture_06.02,3,strings,Writing C-String Handling Functions,standard,10,no,custom functions for C-string processing; pointer and ASCII considerations; reusable string operations
p400_lecture_08.01,4,constructors,Copy Constructors and Memberwise Assignment,standard,16,no,copy-constructor invocation; memberwise assignment; initialization versus assignment; shallow member copies
p400_lecture_08.01,4,memory,Shallow Copies and the Serialization Problem,standard,16,no,pointer duplication; shared heap state; dangling addresses; serialization failure
p400_lecture_08.02,4,memory,Deep Copy,standard,18,no,allocate independent pointees; customize copy constructor and assignment operator; document copy policy
p400_lecture_08.02,4,memory,Rvalue References and Move Operations,standard,18,no,lvalues and rvalues; move operations; temporary object transfer; copy versus move decisions
p400_lecture_16.01,16,oop,Abstract Data Types - Part 2,high,,no,resume from 15.02 exposed-state limitation; abstraction versus encapsulation; private representation; public operations; constructors and valid initial state; member functions; class-enforced invariants; transition into object-oriented programming



p400_lecture_10.01,5,conversion,Type Conversion Operators,high,,no,conversion operators; class-to-primitive conversion; explicit conversion syntax
p400_lecture_10.01,5,conversion,Conversion Constructors,high,,no,constructing one class from another type; conversion constructor syntax; explicit constructors
p400_lecture_10.01,5,operator_overloading,Operator Chaining,standard,,no,return the calling object; const right-hand operands; predictable chained assignments
p400_lecture_10.01,5,functions,Lambda and Functor Review,standard,,no,lambda syntax; callable objects; threshold predicates; floating-point comparison
p400_lecture_10.02,5,conversion,Conversion Constructors,high,,no,implicit and explicit converting constructors; object conversion contexts
p400_lecture_10.02,5,objects,First-Class Objects,standard,,no,objects as values; copying; passing and returning objects
p400_lecture_10.02,5,conversion,Object Conversions,high,,no,type conversion operators; conversion constructors; templated conversion operators
p400_lecture_10.02,5,conversion,Conversion Safety,high,,no,unintended conversions; constructor hijacking; explicit and deleted conversion paths
p400_lecture_11.01,6,relationships,Class Relationships,high,,no,association; aggregation; composition; modeling object relationships and ownership
p400_lecture_11.01,6,relationships,Aggregation and Composition,high,,no,front-end and back-end classes; object lifetime; initializer lists; ownership boundaries
p400_lecture_11.01,6,conversion,Conversion Review,standard,,no,conversion operators and converting constructors as a review connection
p400_lecture_11.02,6,relationships,Class Relationships,high,,no,association; aggregation; composition; modeling object relationships and ownership
p400_lecture_11.02,6,relationships,Aggregation and Composition,high,,no,front-end and back-end classes; object lifetime; initializer lists; ownership boundaries
p400_lecture_11.02,6,inheritance,Inheritance,high,,no,base and derived classes; overriding; is-a relationships; specialization
p400_lecture_11.02,6,inheritance,Multiple Inheritance,high,,no,multiple base classes; diamond problem; constructor order and ambiguity
p400_lecture_11.02,6,inheritance,Inheritance Access Control,high,,no,public protected and private inheritance; protected members; inherited access
p400_lecture_11.02,6,inheritance,Virtual Inheritance,standard,,no,shared base subobjects; virtual inheritance; resolving diamond ambiguity
p400_lecture_12.01,6,inheritance,Inheritance and Overriding,high,,no,base and derived classes; overriding; is-a relationships; specialization
p400_lecture_12.01,6,inheritance,Base Class Construction,high,,no,constructor order; initializer lists; passing arguments to base constructors
p400_lecture_12.01,6,inheritance,Multiple Inheritance,high,,no,multiple base classes; diamond problem; constructor order and ambiguity
p400_lecture_12.01,6,inheritance,Access Specifiers,high,,no,public protected and private inheritance; protected members; inherited access
p400_lecture_12.01,6,inheritance,Inheritance Design,standard,,no,choosing inheritance versus composition; specialization; maintainable hierarchies
p400_lecture_12.02,6,inheritance,Polymorphic Data Structures,high,,no,related objects in one traversal; shared interfaces; overriding behavior
p400_lecture_12.02,6,inheritance,Overriding Functions,high,,no,derived methods replace base behavior; matching signatures; inherited defaults
p400_lecture_12.02,6,inheritance,Inheritance and Data Structures,high,,no,arrays and containers of related objects; data structure design with inheritance
p400_lecture_12.02,6,inheritance,Inheritance Applications,standard,,no,vehicle and shape examples; applying a hierarchy to a larger program
p400_lecture_13.01,6,inheritance,Inheritance and Arrays,high,,no,base and derived objects in arrays; type compatibility; reuse and specialization
p400_lecture_13.01,6,arrays,Arrays of Class Objects,high,,no,arrays and vectors of objects; constructor requirements; pointers for heterogeneous hierarchies
p400_lecture_13.01,6,inheritance,Inheritance Design,standard,,no,code reuse; base-class extraction; choosing inheritance versus composition
p400_lecture_13.01,6,relationships,Aggregation Review,standard,,no,aggregation and composition as alternatives to inheritance
p400_lecture_13.02,6,polymorphism,Polymorphism,high,,no,dynamic behavior through a common base interface; runtime function selection
p400_lecture_13.02,6,polymorphism,Virtual Member Functions,high,,no,virtual declaration; overriding; virtual dispatch; binding
p400_lecture_13.02,6,polymorphism,Type Compatibility,high,,no,base and derived pointer compatibility; arrays and vectors; object slicing constraints
p400_lecture_13.02,6,polymorphism,Polymorphic Data Structures,high,,no,collections of related objects; pointer-based traversal; shared behavior
p400_lecture_13.02,6,polymorphism,Polymorphism Design,standard,,no,when to use virtual functions; common structure with specialized behavior
p400_lecture_14.01,14,polymorphism,Abstract Base Classes,high,,no,pure virtual functions; abstract interfaces; derived classes must implement required behavior
p400_lecture_14.01,14,polymorphism,Polymorphic Arrays,high,,no,array of base pointers; virtual dispatch; heterogeneous derived objects; heap allocation
p400_lecture_14.01,14,polymorphism,Object Slicing,high,,no,base-object copies discard derived state; pointer collections preserve dynamic type
p400_lecture_14.01,14,inheritance,Inheritance Versus Composition,high,,no,is-a versus has-a; code reuse; choosing a maintainable relationship
p400_lecture_14.01,14,polymorphism,Dynamic Casting,standard,,no,runtime-checked downcast; safe type identification; design smell warning
p400_lecture_14.02,14,exceptions,Exception Handling,high,,no,try catch throw; exceptional events; separation of detection and response
p400_lecture_14.02,14,exceptions,Exception Safety,high,,no,error propagation; resource and object invariants; handling multiple exception types
p400_lecture_14.02,14,polymorphism,Abstract Classes and Exceptions,standard,,no,exception hierarchies; abstract interfaces for errors; polymorphic error handling
p400_lecture_14.02,14,exceptions,Exception Hierarchies,standard,,no,base and derived exception types; matching handlers; mixed collections of errors
p400_lecture_15.01,15,stl,Standard Template Library Preview,standard,,yes,vector overview; standard library context; connection to polymorphism and generic programming
p400_lecture_15.01,15,containers,Vectors of Vectors,standard,,no,nested vector syntax; temporary-vector construction; ragged versus rectangular structures
p400_lecture_15.01,15,design,Design Exercise,standard,,no,apply inheritance and composition decisions in a focused design activity
p400_lecture_15.02,15,templates,Function Templates,high,,no,template parameter syntax; type deduction; compile-time generic functions
p400_lecture_15.02,15,templates,Template Arguments,high,,no,multiple type parameters; mixed argument types; explicit casts and deduction
p400_lecture_15.02,15,templates,Template Specialization,standard,,no,explicit specialization for exceptional types; generic default with targeted override
p400_lecture_15.02,15,maintenance,Generic Program Maintenance,standard,,no,reading unfamiliar template code; preserving behavior while changing implementation
p400_lecture_01.02,1,review,Variables and Conditionals,high,,no,variable declarations and values; if; if/else; if/else if; prerequisite-course review
p400_lecture_01.02,1,iteration,Iteration,high,,no,looping as a prerequisite review; repeated execution and control flow
p400_lecture_01.02,1,functions,Functions,high,,no,function declarations; prototypes; return values; parameter passing
p400_lecture_01.02,1,pointers,Pointers Preview,standard,,yes,chapter 10 roadmap; pointer variables; address operator; dynamic memory and smart pointers deferred
p400_lecture_01.02,1,design,Coding for Reuse,standard,,no,preserve raw input; error-state design; component testing; named constants
p400_lecture_01.02,1,debugging,Logging Function,high,,no,logging definition; history versus current debugger state; use cases; design limitations
